,brief_title,conditions,date_processed,enrollment,id,intervention,location_countries,overall_status,sponsors,start_date,study_type,title
2821,Combined Simultaneous EGD-colonoscopy Trial (CoSi Endoscopy),PROCEDURE TIME,"February 08, 2021",51,NCT04473456,SIMULTANEOUS EGD AND COLONOSCOPY,COLOMBIA,Completed,EmuraCenter LatinoAmerica,"June 13, 2020",Interventional,Combined Simultaneous EGD-colonoscopy (CoSi Endoscopy) Harmlessly Reduces Procedure Times: a Randomized Control Trial
2822,COVID 19 Preventive Measures Among Mansoura Nursing Students,COVID,"February 08, 2021",215,NCT04473547,,EGYPT,Recruiting,Mansoura University,"July 15, 2020",Observational,Adherence of Nursing Students to Preventive Measures Towards Coronavirus Disease 19 During Written Exams
2823,Stay Well at Home: a Text-messaging Study Social Distancing,DEPRESSIVE SYMPTOMS; ANXIETY; COVID,"February 08, 2021",200,NCT04473599,UNIFORM RANDOM MESSAGE DELIVERY; REINFORCEMENT LEARNING MESSAGE DELIVERY,UNITED STATES,Recruiting,"University of California, Berkeley","April 17, 2020",Interventional,Stay Well at Home: A Text-messaging Study to Improve Mood and Help Cope With Social Distancing
2824,KBP-201 COVID-19 Vaccine Trial in Healthy Volunteers,COVID,"February 08, 2021",180,NCT04473690,LOW DOSE OF KBP-COVID-19; HIGH DOSE OF KBP-COVID-19; PLACEBO,UNITED STATES,Recruiting,"Kentucky BioProcessing, Inc.","December 30, 2020",Interventional,"A First-in-human, Observer-blinded, Randomized, Placebo-controlled, Parallel Group Study to Evaluate the Safety and Immunogenicity of KBP-COVID-19 SARS-CoV-2 Vaccine With Adjuvant in Healthy Seronegative Adults Aged 18-49 and 50-70"
2825,Telerehabilitation After Coronavirus,COVID,"February 08, 2021",36,NCT04473898,AEROBIC EXERCISE TRAINING; PATIENT EDUCATION; RESPIRATORY EXERCISE TRAINING,TURKEY,Recruiting,KTO Karatay University,"June 19, 2020",Interventional,Telerehabilitation After Covid-19: Effectiveness of Respiratory and Aerobic Training
2826,An Epidemiological Investigation on the Correct Wearing of Face Mask,RESPIRATORY INFECTIOUS DISEASES,"February 08, 2021",6000,NCT04474028,,CHINA,Completed,Fuwai Yunnan Cardiovascular Hospital,"June 19, 2020",Observational,An Epidemiological Investigation on the Prevention of Respiratory Infectious Diseases by Wearing Mask Correctly
2827,COVID-19 - Cytokine Storm,COVID,"February 08, 2021",300,NCT04474067,NO INTERVENTION,ISRAEL,Recruiting,Hadassah Medical Organization,"June 28, 2020",Observational,A Multi-Center Study Evaluating Clinical Course in Patients With COVID-19 and Its Relationship to Cytokine Storm
2828,Reducing Burnout Among Frontline Healthcare Workers During COVID-19,BURNOUT,"February 08, 2021",1080,NCT04474080,VIRTUAL PEER SUPPORT PLATFORM; CONTROL PERIOD,CANADA,Not yet recruiting,St. Joseph's Healthcare Hamilton,"January 15, 2021",Interventional,The Role of Virtual Peer Support Platforms for Reducing Stress and Burnout Among Frontline Healthcare Workers During COVID-19: A Randomized Controlled Trial
2829,Lung Ultrasound for COVID-19 Initial Triage and Monitoring,COVID; ACUTE RESPIRATORY FAILURE; TRIAGE; LUNG ULTRASOUND; CT SCAN,"February 08, 2021",148,NCT04474236,THORACIC LUNG ULTRASOUND,FRANCE,Recruiting,"University Hospital, Toulouse","May 27, 2020",Observational,Use of Lung Ultrasound for COVID-19 Patient's Initial Triage Assessment and Early Monitoring: a Pilot Study
2830,Follow-up of Critical COVID-19 Patients,COVID; ARDS; AKI; CIRCULATORY FAILURE; COAGULATION DISORDER; INFLAMMATORY RESPONSE,"February 08, 2021",300,NCT04474249,,SWEDEN,Recruiting,Uppsala University,"June 25, 2020",Observational,Uppföljning av Patienter Som intensivvårdats för COVID-19
2831,The COVID-19 PUI Reality Check (CPRC) Study,COVID IMMUNOLOGY,"February 08, 2021",400,NCT04474288,SARS-COV-2 ANTIBODY TESTING,UNITED STATES,Recruiting,Bassett Healthcare,"July 16, 2020",Observational,SARS-CoV-2 Specific Immune Responses in Hospitalized Persons Under Investigation (PUIs) With Negative Nasopharyngeal PCR Swabs - The COVID-19 PUI Reality Check (CPRC) Study
2832,Well-Being and Health-Related Quality of Life in Melanoma Patients During COVID-19 Pandemic,COVID INFECTION; MELANOMA,"February 08, 2021",1152,NCT04474301,SURVEY ADMINISTRATION,UNITED STATES,Recruiting,M.D. Anderson Cancer Center,"June 11, 2020",Observational,Well-Being and Quality of Life in Melanoma Patients During COVID-19 Pandemic
2833,COVID-19 Convalescent Plasma Treatment in SARS-CoV-2 Infected Patients,"MODERATE COVID PNEUMONIA, SEVERE COVID PNEUMONIA; PNEUMONIA, VIRAL","February 08, 2021",300,NCT04474340,COVID-19 CONVALSCENT PLASMA,KUWAIT,Recruiting,"Ministry of Health, Kuwait","May 21, 2020",Interventional,COVID-19 Convalescent Plasma Treatment in SARS-CoV-2 Infected Patients: Multicenter Interventional Study
2834,Ambulance Calls for Substance Use and Alcohol in a Pandemic (ASAP),"ALCOHOL USE, UNSPECIFIED; SUBSTANCE USE; INTOXICATION ALCOHOL; EMERGENCIES; COVID PANDEMIC; TREATMENT","February 08, 2021",55000,NCT04474444,ATTENDANCE BY AMBULANCE CREW,UNITED KINGDOM,Recruiting,University of Lincoln,"March 23, 2019",Observational,Ambulance Calls for Substance Use and Alcohol in a Pandemic (ASAP): Exploring Attendance at Incidents Involving Substance and/or Alcohol Use During COVID-19 Pandemic
2835,Efficacy and Safety of Favipiravir in the Treatment of COVID-19 Patients Over 15 Years of Age,COVID,"February 08, 2021",1000,NCT04474457,FAVIPIRAVIR,TURKEY,"Active, not recruiting","Ministry of Health, Turkey","June 11, 2020",Observational,An ObservationaI Study to Evaluate the Efficacy and Safety of Favipiravir in the Treatment of COVID-19 Patients Over 15 Years of Age Who Are Receiving Favipiravir
2836,Safety and Efficacy of Melatonin in Outpatients Infected With COVID-19,COVID,"February 08, 2021",30,NCT04474483,MELATONIN; PLACEBO (METHYLCELLULOSE) CAPSULE,UNITED STATES,Recruiting,State University of New York at Buffalo,"November 6, 2020",Interventional,A Pilot Placebo-controlled Randomized Double-blind Trial of Melatonin in Outpatients With COVID-19 Infection
2837,Impact of COVID-19 on Marshallese Communities in the U.S.,COVID,"February 08, 2021",2000,NCT04474496,ASSESSING IMPACT OF COVID19,UNITED STATES,Enrolling by invitation,University of Arkansas,"July 27, 2020",Observational,Impact of COVID-19 on Marshallese Communities in the U.S.
2838,Postural Recruitment Maneuver in Patients With Acute Respiratory Distress Syndrome Due to COVID-19 Infection,SARS-CoV2; ARDS,"February 08, 2021",12,NCT04475068,LATERAL POSITION (LEFT AND RIGHT LATERAL DECUBITUS),PERU,Recruiting,Hospital Nacional Edgardo Rebagliati Martins,"July 17, 2020",Observational,Feasibility and Physiological Effects of a Postural Recruitment Maneuver in Patients With Acute Respiratory Distress Syndrome Due to COVID-19 Infection
2839,Use of a Live Attenuated Vaccine as an Immune-based Preventive Against COVID-19-associated Sepsis,SEPSIS SYNDROME,"February 08, 2021",60,NCT04475081,MMR VACCINE,,Not yet recruiting,Louisiana State University Health Sciences Center in New Orleans,"August 17, 2020",Interventional,Use of a Live Attenuated Vaccine Repurposed as an Innate Immune-based Preventive Against COVID-19-associated Sepsis/Inflammation
2840,The Efficacy and Safety of Pyramax in Mild to Moderate COVID-19 Patients,COVID,"February 08, 2021",76,NCT04475107,PYRONARIDINE-ARTESUNATE; PLACEBO,"KOREA, REPUBLIC OF",Recruiting,Shin Poong Pharmaceutical Co. Ltd.,"July 9, 2020",Interventional,"A Multi-center, Randomized, Double-blind, Parallel, Placebo-Controlled, Phase Ⅱ Clinical Trial to Evaluate Efficacy and Safety of Pyramax in Mild to Moderate COVID-19 Patients"
2841,Efficacy and Safety of Liposomal Lactoferrin in COVID-19 Patients With Mild-to-Moderate Disease and in COVID-19 Asymptomatic Patients,COVID,"February 08, 2021",60,NCT04475120,LIPOSOMAL LACTOFERRIN,ITALY,Completed,University of Rome Tor Vergata,"April 15, 2020",Interventional,Interventional Pilot Study to Assess the Use of Oral and Intra-nasal Liposomal Lactoferrin in COVID-19 Patients With Mild-to-Moderate Disease and in COVID-19 Asymptomatic Patients
2842,Safety and Effectiveness Assessment of the MakAir Artificial Ventilator,ACUTE RESPIRATORY DISTRESS SYNDROME,"February 08, 2021",117,NCT04475185,MAKAIR,FRANCE,Recruiting,Nantes University Hospital,"July 20, 2020",Interventional,"Interventional, Open, Non-comparative, Multicenter Study to Assess the Safety and Effectiveness of the Use of the MakAir Artificial Ventilator in the Expected Situation of a Shortage of Technical Devices for Invasive Mechanical Ventilation, Linked to the Coronavirus COVID-19"
2843,LILLE COVID RESEARCH NETWORK (Covid-19),SARS-CoV2,"February 08, 2021",1000,NCT04475211,,FRANCE,Recruiting,"University Hospital, Lille","August 10, 2020",Observational,Predictors of Mortality at Day 28 of Patients Treated at Lille University Hospital for COVID-19
2844,BCG Vaccine in Reducing Morbidity and Mortality in Elderly Individuals in COVID-19 Hotspots,COVID,"February 08, 2021",2175,NCT04475302,BCG VACCINE (FREEZE-DRIED),INDIA,Recruiting,"Tuberculosis Research Centre, India","July 1, 2020",Interventional,Study to Evaluate the Effectiveness of BCG Vaccine in Reducing Morbidity and Mortality in Elderly Individuals in COVID-19 Hotspots in India
2845,WORLD HEART FEDERATION (WHF) COVID-19 and Cardiovascular Disease Survey,COVID; CARDIOVASCULAR DISEASES,"February 08, 2021",5200,NCT04475471,,ARGENTINA,Recruiting,Public Health Foundation of India,"June 11, 2020",Observational,WHF COVID-19 and Cardiovascular Disease Survey
2846,Online Survey on Psychological Impact of COVID-19 Epidemic on School-age Children,INVESTIGATING PSYCHOLOGICAL IMPACT; CONFINEMENT MEASURES; CORONAVIRUS OUTBREAK; SCHOOL-AGE CHILDREN,"February 08, 2021",30000,NCT04475484,ONLINE QUESTIONNAIRE,FRANCE,Recruiting,Hospices Civils de Lyon,"June 10, 2020",Observational,Online Survey on Psychological Impact of COVID-19 Epidemic on School-age Children
2847,Can the Electronic Nose Smell COVID-19?,SARS-COV INFECTION; COVID,"February 08, 2021",219,NCT04475562,AEONOSE,NETHERLANDS,Completed,Maastricht University Medical Center,"April 6, 2020",Interventional,Can the Electronic Nose Smell COVID-19? A Proof-of-principle Study
2848,Can the Electronic Nose Smell COVID-19 Antibodies?,SARS-COV INFECTION; COVID,"February 08, 2021",222,NCT04475575,AEONOSE,NETHERLANDS,Completed,Maastricht University Medical Center,"April 6, 2020",Interventional,Can the Electronic Nose Smell COVID-19 Antibodies? A Proof-of-principle Study
2849,Efficacy and Safety of Itolizumab in COVID-19 Complications,ACUTE RESPIRATORY DISTRESS SYNDROME; CYTOKINE RELEASE SYNDROME; COVID,"February 08, 2021",30,NCT04475588,"ITOLIZUMAB IV INFUSION; BEST SUPPORTIVE CARE"" WHICH INCLUDES ANTIVIRALS /ANTIBIOTICS/ HYDROXYCHLOROQUINE; OXYGEN THERAPY",INDIA,Completed,Biocon Limited,"May 1, 2020",Interventional,"A Multi-Centre, Open Label, Two Arm Randomized, Pivotal Phase 2 Trial to Study the Efficacy and Safety of Itolizumab in COVID-19 Complications"
2850,Enzalutamide Treatment in COVID-19,COVID; CORONAVIRUS INFECTION,"February 08, 2021",500,NCT04475601,ENZALUTAMIDE PILL,SWEDEN,Recruiting,Andreas Josefsson,"July 15, 2020",Interventional,"A Prospective, Multicenter, Randomized PHASE II Clinical Trial of Enzalutamide Treatment to Decrease the Morbidity in Patients With Corona Virus Disease 2019 (COVID-19)"
2851,Fourth Trimester - A Web-based Tool for Postpartum Care to Address the Needs of Underserved Women,PREGNANCY RELATED; POSTPARTUM SADNESS,"February 08, 2021",85,NCT04475718,FOURTH TRIMESTER MOBILE TOOL,UNITED STATES,Recruiting,HealthCore-NERI,"July 6, 2020",Interventional,Fourth Trimester - A Web-based Tool for Postpartum Care to Address the Needs of Underserved Women
2852,Digital vs Analog Impression in Cases of All-on-4 - Prosthesis,EDENTULOUS MOUTH,"February 08, 2021",56,NCT04475913,DIG AXIAL; DIG TILTED; CIG AXIAL; CIG TILTED,EGYPT,"Active, not recruiting",October University for Modern Sciences and Arts,"July 11, 2018",Interventional,"In a Post -Covid-19 World, What is the Clinical Influence of Digital vs Analog Impression in Cases of All-on-4 - Prosthesis ?"
2853,Safety and Efficacy of Maraviroc and/or Favipiravir With Standard Therapy in Severe COVID-19 Adults,COVID,"February 08, 2021",100,NCT04475991,MARAVIROC + CURRENTLY USED THERAPY; CURENTLY USED THERAPY FOR COVID-19 NON-CRITICAL PATIENTS; FAVIPIRAVIR + CURRENTLY USED THERAPY; MARAVIROC+FAVIPIRAVIR+CT,MEXICO,Not yet recruiting,Hospital General de México Dr. Eduardo Liceaga,January 2021,Interventional,"Phase2, Randomized, Controlled Study to Evaluate the Efficacy and Safety of Maraviroc and/or Favipiravir Plus Standard Therapy in Adult Patients With Severe Non-critical COVID-19"""
2854,Prognostication of Recovery in Early Disorders of Consciousness After COVID-19,COVID; COMA; CONSCIOUSNESS DISORDER,"February 08, 2021",100,NCT04476589,FUNCTIONAL MRI,UNITED STATES,Recruiting,Massachusetts General Hospital,"July 1, 2020",Observational,Prognostication of Recovery in Early Disorders of Consciousness After COVID-19
2855,Ambulatory Management of Moderate to High Risk COVID-19 (SARS-CoV-2) Patients - The Coronavirus Related Outpatient Work Navigators (CROWN) Protocol,COVID (SARS-CoV2),"February 08, 2021",500,NCT04476602,,UNITED STATES,Recruiting,Northwell Health,"April 27, 2020",Observational,Ambulatory Management of Moderate to High Risk COVID-19 (SARS-CoV-2) Patients - The Coronavirus Related Outpatient Work Navigators (CROWN) Protocol
2856,"Online Delivery of Psychotherapy, Tailored to Patients' Suffering From Mental Health Problems Due to COVID-19",MENTAL HEALTH ISSUE; COVID; ANXIETY DISORDERS; DEPRESSION,"February 08, 2021",80,NCT04476667,E-PSYCHOTHERAPY,CANADA,Recruiting,Queen's University,"June 15, 2020",Interventional,"Online Delivery of Psychotherapy, Tailored to Patients' Suffering From Mental Health Problems Due to COVID-19"
2857,Reducing Asymptomatic Infection With Vitamin D in Coronavirus Disease,SARS-COV INFECTION; VITAMIN D DEFICIENCY; COVID; ACUTE RESPIRATORY TRACT INFECTION,"February 08, 2021",4400,NCT04476680,VITAMIN D 1000 IU; PLACEBO,UNITED KINGDOM,Not yet recruiting,Royal Centre for Defence Medicine,"September 1, 2020",Interventional,Reducing Asymptomatic Infection With Vitamin D in Coronavirus Disease
2858,Canakinumab MAP in COVID-19 Pneumonia With CRS,CYTOKINE RELEASE SYNDROME IN COVID-INDUCED PNEUMONIA,"February 08, 2021",,NCT04476706,CANAKINUMAB,,No longer available,Novartis Pharmaceuticals,,Expanded Access,Managed Access Program (MAP) to Provide Access to Canakinumab Treatment of Cytokine Release Syndrome (CRS) in Patients With COVID-19-induced Pneumonia
2859,"The Bioequivalence Study of Umifenovir 200 mg Capsul (ATABAY, Turkey) Under Fasting Conditions",BIOEQUIVALENCE,"February 08, 2021",18,NCT04476719,ATAFENOVIR 200 MG KAPSUL; ARBIDOL 100 MG KAPSUL,TURKEY,"Active, not recruiting",Atabay Kimya Sanayi Ticaret A.S.,"July 9, 2020",Interventional,"Open-Label, Randomised, Single Oral Dose, Two-Period, Cross-Over Trial To Assess The Bioequivalence Of Atafenovir 200 Mg Kapsul In Comparison With Arbidol 100 Mg Kapsul In Healthy Male Subjects Under Fasting Conditions"
2860,The Effect of D3 on Selected Cytokines Involved in Cytokine Storm in the Covid-19 Uninfected Jordanian People,CYTOKINE STORM,"February 08, 2021",100,NCT04476745,VITAMIN D3,JORDAN,Enrolling by invitation,Applied Science Private University,"October 5, 2020",Interventional,"The Effect of Weekly 50,000 IU Vitamin D3 Supplements on the Serum Levels of Selected Cytokines Involved in Cytokine Storm of Covid-19; A Randomized Clinical Trial in the Covid-19 Uninfected Jordanian People With Vitamin D Deficiency"
2861,European Pathology Laboratories and COVID-19,CLINICAL PRACTICE DURING THE COVID CRISIS,"February 08, 2021",71,NCT04476823,ACTIVITY,FRANCE,Completed,Centre Hospitalier Universitaire de Nice,"March 15, 2020",Observational,Practice in Clinical and Molecular Thoracic European Pathology Laboratories During the COVID-19 Pandemic.
2862,Convalescent Plasma Treatment in COVID-19,COVID,"February 08, 2021",110,NCT04476888,CONVALESCENT PLASMA (CP); DRUGS AND SUPPORTIVE CARE,PAKISTAN,Completed,Aga Khan University,"April 26, 2020",Interventional,Convalescent Plasma Treatment in COVID-19 Patients at a Tertiary Care Center in Pakistan
2863,Stress Related Disorders in Family Members of COVID-19 Patients Admitted to the ICU,RESPIRATORY FAILURE; SARS-CoV2; CORONAVIRUS INFECTION; POST INTENSIVE CARE UNIT SYNDROME; FAMILY MEMBERS; POST TRAUMATIC STRESS DISORDER; ANXIETY; DEPRESSION,"February 08, 2021",250,NCT04476914,,UNITED STATES,Recruiting,"University of Colorado, Denver","June 29, 2020",Observational,Psychological Distress Symptoms in Family Members of Patients With COVID-19 Respiratory Failure in Intensive Care Units
2864,Detection of COVID-19 Subjects Using DiaNose Exhalation Test,COVID,"February 08, 2021",300,NCT04476927,DIANOSE,,Not yet recruiting,Nanose Medical Ltd.,"August 1, 2020",Interventional,Collecting and Evaluating Data of Potential Volatile Biomarkers in the Exhaled Air of Subjects With and Without COVID-19 by DiaNose
2865,COVID-19 Breastfeeding Guideline for African-Americans,COVID; EXCLUSIVE BREASTFEEDING,"February 08, 2021",200,NCT04476940,COVID-19 BREASTFEEDING SUPPORT,UNITED STATES,Not yet recruiting,Meharry Medical College,September 2020,Interventional,An Intervention to Promote COVID-19 Breastfeeding Guideline Adherence Among African American Mothers
2866,COVID-FISETIN: Pilot in Covid-19 of Fisetin to Alleviate Dysfunction and Inflammation,COVID,"February 08, 2021",70,NCT04476953,PLACEBO; FISETIN,UNITED STATES,Enrolling by invitation,Mayo Clinic,"August 3, 2020",Interventional,COVID-FISETIN: A Phase 2 Placebo-Controlled Pilot Study in Covid-19 of Fisetin to Alleviate Dysfunction and Excessive Inflammatory Response in Hospitalized Adults
2867,Comparison of Tocilizumab Plus Dexamethasone vs. Dexamethasone for Patients With Covid-19,CORONAVIRUS INFECTION; SARS (SEVERE ACUTE RESPIRATORY SYNDROME); VIRUS DISEASES; CORONAVIRIDAE INFECTIONS; NIDOVIRALES INFECTIONS; RNA VIRUS INFECTIONS; RESPIRATORY TRACT INFECTIONS; RESPIRATORY TRACT DISEASE,"February 08, 2021",120,NCT04476979,TOCILIZUMAB; DEXAMETHASONE,FRENCH GUIANA,Recruiting,Assistance Publique - Hôpitaux de Paris,"July 16, 2020",Interventional,Comparison of Tocilizumab Plus Dexamethasone vs. Dexamethasone for Patients With Covid-19
