,condition,date_processed,enrollment,id,intervention,location_countries,overall_status,sponsors,start_date,study_type,title,study_topic
2750,SARS-CoV2,"February 08, 2021",100,NCT04467918,CANNABIDIOL,BRAZIL,"Active, not recruiting",University of Sao Paulo,"July 6, 2020",Interventional,"Cannabidiol (CBD) in Patients With Mild to Moderate Symptoms of Coronavirus 2019: A Randomized, Double-blind, Placebo-controlled Clinical Trial",COVID
2751,HYPERTENSION,"February 08, 2021",10000,NCT04467931,ACEI/ARB,UNITED STATES,"Active, not recruiting",University of Utah,"January 19, 2020",Observational,Association Between Angiotensin Converting Enzyme Inhibitor or Angiotensin Receptor Blocker Use and COVID-19 Severity and Mortality Among US Veterans,Unrelated
2752,SARS-ASSOCIATED CORONAVIRUS,"February 08, 2021",36,NCT04468009,CONVALESCENT PLASMA,ARGENTINA,Recruiting,Hospital de Infecciosas Francisco Javier Muniz,"June 25, 2020",Interventional,Treatment of Critically Ill Patients With Covid-19 With Convalescent Plasma,COVID
2753,COVID,"February 08, 2021",30,NCT04468035,,FRANCE,Recruiting,Groupe Hospitalier Paris Saint Joseph,"June 1, 2020",Observational,Early Cognitive Assessment and Evolutionary Monitoring of Patients With Severe ARDS (Acute Respiratory Distress Syndrome) on SARS-CoV2 Viral Pneumonia Requiring Mechanical Ventilation,COVID
2754,COVID,"February 08, 2021",1005,NCT04468087,ATAZANAVIR,BRAZIL,Not yet recruiting,Hospital do Coracao,"December 1, 2020",Interventional,"Antiviral for Adult Patients Hospitalized for SARS-CoV-2 Infection: a Randomized, Phase 2/3, Multicenter, Placebo Controlled, Adaptive, Multi-arm, Multi-stage Clinical Trial - Coalition Brazil COVID-19 IX: REVOLUTIOn",COVID
2755,COVID,"February 08, 2021",60,NCT04468139,QUERCETIN,SAUDI ARABIA,Recruiting,"Ministry of Health, Saudi Arabia","June 20, 2020",Interventional,"The Study of Quadruple Therapy Zinc, Quercetin, Bromelain and Vitamin C on the Clinical Outcomes of Patients Infected With COVID-19",COVID
2756,COVID,"February 08, 2021",150,NCT04468217,"OBTAINMENT OF NASOPHARYNGEAL, OROPHARYNGEAL, BUCCAL, NASAL AND SALIVA SAMPLES",CHILE,Recruiting,Neurognos,"June 2, 2020",Observational,Evaluation of an Alternative Method of Obtaining Viral RNA for the Detection of SARS-CoV-2 Virus Using PCR,COVID
2757,COVID,"February 08, 2021",1000,NCT04468256,COVID-19 EXPERIENCE SURVEYS,UNITED KINGDOM,Recruiting,Imperial College London,"July 26, 2020",Observational,The Heart Hive COVID-19 Study: A Longitudinal Observational Study of the Impact and Clinical Outcomes of the COVID-19 Pandemic on Individuals With Heart Muscle Disease,COVID
2758,SENILE CATARACT,"February 08, 2021",116,NCT04468308,QUESTIONNAIRE,AUSTRIA,Recruiting,Medical University Innsbruck,"September 8, 2020",Observational,Assessment of Vision-related Quality of Life (VRQOL) in Cataract Patients During the COVID-19 Pandemic,Unrelated
2759,FOCUS IN ON COLLECTING PAIRED SPECIMENS FOR MATRIX EQUIVALENCY,"February 08, 2021",40,NCT04468386,,UNITED STATES,"Active, not recruiting",Biomerica,"July 7, 2020",Observational,Specimen Collection Study Protocol; Internal Biomerica Normal Specimen Collection and Banking for Use in COVID-19 Serological Product Development,Unrelated
2760,COVID,"February 08, 2021",203,NCT04468412,CAROTID ARTERY REACTIVITY TESTING,NETHERLANDS,"Active, not recruiting",Radboud University,"July 14, 2020",Observational,Influence of COVID-19 on Vascular Endothelial Function,COVID
2761,CORONAVIRUS,"February 08, 2021",505,NCT04468581,USE OF MOBILE APPLICATION,SINGAPORE,Completed,Yale-NUS College,"April 3, 2020",Observational,Characteristics of TraceTogether Users,COVID
2762,"NEUROKININ 1 RECEPTOR, SUBSTANCE P, RESPIRATORY ILLNESS, INFLAMMATION, COVID, CORONAVIRUS","February 08, 2021",100,NCT04468646,NK-1R ANTAGONIST,PAKISTAN,Recruiting,Prof. Dr. Fridoon Jawad Ahmad,"June 15, 2020",Interventional,To Determine the Efficacy of Neurokinin 1 Receptor Antagonist as a Therapeutic Tool Against Cytokine Storm and Respiratory Failure in Covid-19 Patients,COVID
2763,HIV,"February 08, 2021",150945,NCT04468789,SIX-MONTH ARV DISPENSING,SOUTH AFRICA,Not yet recruiting,Boston University,April 2021,Observational,Evaluation of the National Department of Health's Six-month Antiretroviral Treatment Dispensing Demonstration Pilot in Primary Health Care Clinics in the Context of the COVID-19 Pandemic and Response in South Africa,Unrelated
2764,COVID,"February 08, 2021",32,NCT04468802,CASE FATALITY RATE,TURKEY,Completed,Kanuni Sultan Suleyman Training and Research Hospital,"February 1, 2020",Observational,Do Childhood Measles and DTaP Vaccination Decrease the Mortality Rate Caused by SARS CoV-2 in OECD Countries?,COVID
2765,ANXIETY,"February 08, 2021",128,NCT04468893,ONLINE INTERVENTION MENTAL HEALTH COVID-19,MEXICO,Recruiting,Universidad Internacional de Valencia,"May 20, 2020",Interventional,"Effectiveness of a Self-applied Positive Psychology Online Intervention Program ""Mental Health COVID-19"" in Mexican Population: A Randomized Controlled Trial.",Unrelated
2766,COVID,"February 08, 2021",28,NCT04468958,SAB-185,UNITED STATES,Recruiting,"SAb Biotherapeutics, Inc.","August 5, 2020",Interventional,"A Phase 1, Randomized, Double-Blind, Placebo-Controlled, Single and Multiple Ascending Dose Study of SAB-185 in Healthy Subjects",COVID
2767,COVID,"February 08, 2021",45,NCT04468971,CK0802,UNITED STATES,Recruiting,"Cellenkos, Inc.","September 29, 2020",Interventional,"Phase 1 Double-Blinded, Randomized, Placebo Controlled Safety and Early Efficacy Trial of Cryopreserved Cord Blood Derived T-Regulatory Cell Infusions (CK0802) In The Treatment Of COVID-19 Induced Acute Respiratory Distress Syndrome (ARDS)",COVID
2768,COVID,"February 08, 2021",260,NCT04469114,TOFACITINIB 10 MG,BRAZIL,"Active, not recruiting",Hospital Israelita Albert Einstein,"September 16, 2020",Interventional,"A Multicenter, Randomized, Double-blind, Placebo-controlled, Parallel-design Trial of Tofacitinib in Hospitalized Participants With COVID-19 Pneumonia",COVID
2769,THE PROGNOSTIC VALUE OF FERRITIN,"February 08, 2021",57,NCT04469153,NO INTERVENTION / EVALUATION OF THE FERRITIN AND GLYCOSYLATED FERRITIN BY STANDARD APPROVED SEROLOGICAL TESTS,FRANCE,Recruiting,Hospices Civils de Lyon,"June 29, 2020",Observational,Interest of the Dosage of Ferritin / Glycosylated Ferritin in COVID-19,Unrelated
2770,COVID,"February 08, 2021",21,NCT04469179,SAB-185,UNITED STATES,Recruiting,"SAb Biotherapeutics, Inc.","August 20, 2020",Interventional,"A Phase 1B, Randomized, Double-Blind, Placebo-Controlled, Single Ascending Dose Study of SAB-185 in Ambulatory Subjects With COVID-19",COVID
2771,COVID,"February 08, 2021",60,NCT04469491,INHALED TYPE I INTERFERON,FRANCE,Suspended,"Centre Hospitalier Universitaire, Amiens","September 20, 2020",Interventional,Treatment of COVID-19 by Nebulization of Inteferon Beta 1b Efficiency and Safety Study,COVID
2772,CORONAVIRUS INFECTION,"February 08, 2021",68,NCT04469621,SAR443122,ARGENTINA,Completed,Sanofi,"July 17, 2020",Interventional,"A Phase 1b, Randomized, Double-blinded, Placebo-controlled Study to Evaluate the Safety and Immunomodulatory Effect of the RIPK1 Inhibitor SAR443122 in Hospitalized Patients With Severe COVID-19",COVID
2773,SARS-CoV2,"February 08, 2021",150,NCT04469634,"ASSESSING ANTIBODY RESPONSES, NEUTRALIZING CAPACITY AND MEMORY B-CELL FUNCTION",BELGIUM,"Active, not recruiting","Institute of Tropical Medicine, Belgium","July 31, 2020",Interventional,Are SARS-CoV-2 Specific Antibodies a Correlate for Protection?,COVID
2774,COVID,"February 08, 2021",1200,NCT04469647,SEROLOGY TEST,SAUDI ARABIA,Enrolling by invitation,Johns Hopkins Aramco Healthcare,"July 19, 2020",Observational,COVID 19 Antibody Seroprevalence Amongst Healthcare Workers in Johns Hopkins Aramco Healthcare,COVID
2775,PSYCHOLOGICAL STRESS,"February 08, 2021",1300,NCT04469660,,INDIA,Recruiting,Max Healthcare Insititute Limited,"May 18, 2020",Observational,Impact of COVID-19 Pandemic on the Psychological Wellbeing of Healthcare,Unrelated
2776,COVID,"February 08, 2021",10,NCT04470258,ELMO PROJECT AT COVID-19: STUDY IN HUMANS,BRAZIL,Recruiting,Escola de Saúde Pública do Ceará,"August 2, 2020",Interventional,Elmo Respiratory Support Project for Patients With Hypoxemic Respiratory Insufficiency in Covid-19: Proof Of Concept and Usability,COVID
2777,COVID,"February 08, 2021",100,NCT04470297,RAMELTEON 8MG,,Not yet recruiting,Associação Fundo de Incentivo à Pesquisa,September 2020,Interventional,Adjuvant Therapeutic Effects of Melatonin Agonist on Hospitalized Patients With Confirmed or Suspected COVID-19,COVID
2778,T CELL DEFICIENCY,"February 08, 2021",100,NCT04470323,FLOW CYTOMETRY,EGYPT,Recruiting,Assiut University,"July 22, 2020",Observational,Functional Exhaustion of T Cells in COVID19 Patients,Unrelated
2779,COVID,"February 08, 2021",100,NCT04470414,IGG ANTIBODIES IMMUNOASSAY,EGYPT,Not yet recruiting,Assiut University,"August 1, 2020",Observational,COVID-19 IgG Antibodies in the Serum of Recovered Patients: a Longitudinal Study,COVID
2780,SARS-CoV2,"February 08, 2021",30000,NCT04470427,MRNA-1273,UNITED STATES,"Active, not recruiting","ModernaTX, Inc.","July 27, 2020",Interventional,"A Phase 3, Randomized, Stratified, Observer-Blind, Placebo-Controlled Study to Evaluate the Efficacy, Safety, and Immunogenicity of mRNA-1273 SARS-CoV-2 Vaccine in Adults Aged 18 Years and Older",COVID
2781,COVID,"February 08, 2021",94,NCT04470531,ORAL CO-TRIMOXAZOLE,BANGLADESH,Recruiting,"Bangabandhu Sheikh Mujib Medical University, Dhaka, Bangladesh","July 12, 2020",Interventional,Role of Co-trimoxazole in Severe COVID-19 Patients,COVID
2782,SEVERE ACUTE RESPIRATORY SYNDROME,"February 08, 2021",264,NCT04470544,CAMOSTAT MESILATE,UNITED STATES,Recruiting,Alan Bryce,"July 28, 2020",Interventional,"RECOVER: Phase 2 Randomized, Double-Blind Trial TREating Hospitalized Patients With COVID-19 With Camostat MesilatE, a TMPRSS2 Inhibitor",Respiratory
2783,COVID,"February 08, 2021",100,NCT04470557,"D-DIMER,CBC.ESR,CRP,",,Not yet recruiting,Assiut University,"July 15, 2020",Observational,The Relationship Between Lab Finding and COVID-19 Severity: Multicenter Study,COVID
2784,COVID,"February 08, 2021",116,NCT04470583,,UNITED KINGDOM,Recruiting,Chelsea and Westminster NHS Foundation Trust,"October 9, 2020",Observational,Evaluation of Clinical Parameters Following COVID-19 Infection in Pregnancy (COpregVID),COVID
2785,COVID,"February 08, 2021",471,NCT04470609,LOW DOSAGE INACTIVATED SARS-COV-2 VACCINE ON A 0- AND 28-DAY SCHEDULE,CHINA,Enrolling by invitation,Chinese Academy of Medical Sciences,"July 10, 2020",Interventional,"A Randomized, Double-blind, Placebo-controlled, Phase Ib/IIb Trial of an Inactivated SARS-CoV-2 Vaccine in Healthy People Aged ⩾60 Years",COVID
2786,COVID,"February 08, 2021",100,NCT04470622,APREPITANT INJECTABLE EMULSION,PUERTO RICO,Recruiting,Heron Therapeutics,"July 20, 2020",Interventional,"A Phase 2 Randomized, Double-Blind, Placebo-Controlled Study of Aprepitant Injectable Emulsion in Early Hospitalized Adult Patients With COVID-19",COVID
2787,SARS-CoV2 INFECTION,"February 08, 2021",220,NCT04470648,BLOOD TEST FOR SARS-COV2 SEROLOGY,FRANCE,Not yet recruiting,"Institut National de la Santé Et de la Recherche Médicale, France",July 2020,Observational,COVID-19 Infection at Samusocial in Paris: Descriptive and Serological Survey,COVID
2788,COVID,"February 08, 2021",20,NCT04470739,CHEST X-RAY,TURKEY,Recruiting,Kanuni Sultan Suleyman Training and Research Hospital,"May 30, 2020",Interventional,Is Thymus Size of Infants Who Born to COVID-19 Positive Mothers Associated With Neonatal Morbidities?,COVID
2789,POST TRAUMATIC STRESS DISORDER,"February 08, 2021",130,NCT04470869,PHONE CALL,FRANCE,Recruiting,"University Hospital, Toulouse","June 12, 2020",Interventional,Impact of the Psychiatric Intervention OLAF on the Post Traumatic Disorder in the Relatives of Patients Hospitalized in Intensive Care Unit During the SARS-Cov-2 Pandemic Confinement in France.,Unrelated
2790,COVID,"February 08, 2021",25,NCT04470999,LEUKAPHERESIS,UNITED STATES,Recruiting,"Serhat Gumrukcu, MD PhD","April 15, 2020",Interventional,Cellular Immune Profile Changes in Individuals With Active or Past COVID-19 Infection,COVID
2791,COVID,"February 08, 2021",150,NCT04471051,,UNITED STATES,Recruiting,"University of Colorado, Denver","April 30, 2020",Observational,An Observational Cohort Trial of Outcomes and Antibody Responses Following Treatment With COVID19 Convalescent Plasma in Hospitalized COVID-19 Patients,COVID
2792,COVID,"February 08, 2021",755,NCT04471519,BBV152A - PHASE I,INDIA,"Active, not recruiting",Bharat Biotech International Limited,"July 13, 2020",Interventional,"An Adaptive Phase 1, Followed by Phase 2 Randomized, Double-blind, Multicenter Study to Evaluate the Safety, Reactogenicity, Tolerability, and Immunogenicity of BBV152 in Healthy Volunteers",COVID
2793,COVID,"February 08, 2021",600,NCT04471636,WITHINGS SCANWATCH,GERMANY,Recruiting,Ludwig-Maximilians - University of Munich,"September 18, 2020",Interventional,Munich Remote SpO2 and Electrocardiogram Assessment in Covid-19 Patients,COVID
2794,COVID,"February 08, 2021",80,NCT04471649,,EGYPT,Recruiting,Tanta University,"June 15, 2020",Observational,Clinical Course of COVID-19 in Patients With Rheumatoid Arthritis Treated With or Without Hydroxychloroquine: a Case-control Study,COVID
2795,COVID,"February 08, 2021",200000,NCT04471701,ENVIRONMENTAL EXPOSURE AND CLINICAL FEATURES,ITALY,Recruiting,"Institute of Biomedical Technologies-National Research Council, Italy","April 13, 2020",Observational,Italian Web-based EPICOVID19 Cross-sectional Survey,COVID
2796,COVID,"February 08, 2021",40000,NCT04471766,CERTIFIED CLOTH FACE MASK PLUS PREVENTIVE INFORMATION,GUINEA-BISSAU,Enrolling by invitation,Bandim Health Project,"July 20, 2020",Interventional,Evaluation of Locally Produced Cloth Face Mask on COVID-19 and Respiratory Illnesses Prevention at the Community Level - a Cluster-randomized Trial,COVID
2797,CORONAVIRUS INFECTION,"February 08, 2021",30,NCT04471831,REHABILITATION EXERCISE PROTOCOL,,Not yet recruiting,"University of Lagos, Nigeria","July 13, 2020",Interventional,"Physiotherapy as a Complimentary Treatment in Reducing Viral-Load, Complications, Death, Expedite Discharge and Improve Quality of Life, Exercise Endurance and Capacity in Stroke Survivors With CoViD-19: A Clinical-Controlled Study",COVID
2798,COVID DISEASE,"February 08, 2021",40,NCT04472013,DATA COLLECTION FROM LUMBAR PUNCTURE,SWITZERLAND,Recruiting,"University Hospital, Basel, Switzerland","August 12, 2020",Observational,"Systematic Assessment of SARS-CoV-2 Neurotropic Capacity in Modestly and Critically Ill Patients, and Patients Who Died From COVID-19",COVID
2799,PERFORATED APPENDICITIS,"February 08, 2021",143,NCT04472052,APPENDECTOMY,GERMANY,Completed,University Hospital Tuebingen,"March 16, 2020",Observational,Incidence of Perforated Appendicitis in Times of Corona Crisis,Unrelated
2800,SARS-CoV2,"February 08, 2021",873,NCT04472078,SEROLOGICAL ASSAY OR IGG FOR SARS-COV-2,ARGENTINA,Completed,Hospital Italiano de Buenos Aires,"June 10, 2020",Observational [Patient Registry],"Seroprevalence of Antibodies to Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-COV-2) in a Vulnerable Neighbourhood, Buenos Aries Argentina",COVID
2801,COVID,"February 08, 2021",129,NCT04472494,ABATACEPT,PUERTO RICO,Recruiting,Bristol-Myers Squibb,"August 24, 2020",Interventional,"Phase 2, Randomized, Double-Blind Placebo Controlled Study of Intravenous Abatacept in the Treatment of Hospitalized COVID-19 Participants With Respiratory Compromise",COVID
2802,QUALITY OF LIFE,"February 08, 2021",200,NCT04472559,SELF-ACUPRESSURE,,Not yet recruiting,"University of California, Los Angeles","December 25, 2020",Interventional,Randomized Controlled Trial of Acupressure for Health-Related Quality of Life and Perception of Stress Among Health Care Providers During the COVID-19 Pandemic,Unrelated
2803,COVID,"February 08, 2021",,NCT04472572,CONVALESCENT PLASMA,UNITED STATES,Available,Hackensack Meridian Health,,Expanded Access,Expanded Access to Convalescent Plasma for the Treatment of Patients With COVID-19,COVID
2804,CORONAVIRUS INFECTION,"February 08, 2021",60,NCT04472585,IVERMECTIN INJECTABLE SOLUTION,PAKISTAN,Recruiting,Sohaib Ashraf,"November 14, 2020",Interventional,Sub-cutaneous Ivermectin in Combination With and Without Oral Zinc: a Placebo Randomized Control Trial on Mild to Moderate COVID-19 Patients,COVID
2805,SARS-CoV2,"February 08, 2021",466,NCT04472611,STANDARD OF CARE (SOC) AND COLCHICINE+ROSUVASTATIN,UNITED STATES,Not yet recruiting,Yale University,"August 1, 2020",Interventional,Colchicine/Statins for the Prevention of COVID-19 Complications (COLSTAT) Trial,COVID
2806,COVID,"February 08, 2021",310,NCT04472728,BIO101,BELGIUM,Recruiting,Biophytis,"June 16, 2020",Interventional,"Adaptive Design Phase 2 to 3, Randomized, Double-blind, to Evaluate Safety, Efficacy, Pharmacokinetics and Pharmacodynamics of BIO101 in the Prevention of the Respiratory Deterioration in Hospitalized COVID-19 Patients",COVID
2807,COVID,"February 08, 2021",200,NCT04472793,SARS-COV-2,UNITED STATES,Recruiting,"Children's Hospital Medical Center, Cincinnati","May 11, 2020",Observational,Repeated Employee Testing for Understanding Our Recovery to Normal,COVID
2808,COVID,"February 08, 2021",60,NCT04473053,NAFAMOSTAT MESILATE,UNITED KINGDOM,Recruiting,University of Edinburgh,"July 3, 2020",Interventional,Rapid Experimental Medicine for COVID-19 - DEFINE COVID-19,COVID
2809,COVID,"February 08, 2021",500,NCT04473105,,UNITED KINGDOM,Recruiting,Nottingham University Hospitals NHS Trust,"May 1, 2020",Observational,Optimising Resource Allocation Via Prediction of Outcomes for Suspected and Proven Covid-19,COVID
2810,COVID,"February 08, 2021",25000,NCT04473118,SURVEY,QATAR,Recruiting,Hamad Medical Corporation,"July 11, 2020",Observational,"Burnout, Anxiety, Depression, Stress (BADS) and Post-Trauma Stress Disorder (PTSD) in Healthcare Workers Exposed to COVID-19 Patients",COVID
